"GEO_ID","NAME","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_001E","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003M","S1903_C01_003E","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005M","S1903_C02_005E","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C01_007M","S1903_C01_007E","S1903_C01_008M","S1903_C01_008E","S1903_C02_008E","S1903_C02_008M","S1903_C01_009M","S1903_C01_009E","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012M","S1903_C02_012E","S1903_C01_013M","S1903_C01_013E","S1903_C02_013E","S1903_C02_013M","S1903_C01_014M","S1903_C01_014E","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015M","S1903_C02_015E","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017M","S1903_C01_017E","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018M","S1903_C02_018E","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020M","S1903_C01_020E","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022M","S1903_C02_022E","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024M","S1903_C02_024E","S1903_C01_025M","S1903_C01_025E","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026M","S1903_C02_026E","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028M","S1903_C01_028E","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030M","S1903_C02_030E","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1600000US0107000","Birmingham city, Alabama","2521","30212","1684","87228","27.2","2.3","38731","4083","2.4","70.9","26379","1906","N","N","39978","39630","N","N","37754","39248","N","N","-","**","55688","30355","N","N","N","N","N","N","N","N","25207","7660","24.8","2.3","41080","4989","6.4","1.4","7671","21630","2.6","35.5","30932","2943","2.4","37.0","35928","1511","21.1","1.4","3020","22443","48750","2183","34971","2953","3.2","38.4","25440","5767","61.6","3.2","4229","39526","43.6","3.8","51378","3260","3.5","47.1","22911","2945","9.3","2.1","34744","8447","38478","2757","1937","22306","52.3","3.6","21783","1552","44.1","3.7","2309","20173","2.1","8.2","40402","3790","47.7","3.6","5725","24074","38.0","3.9","20548","4986","2.7","9.7","37227","25415","30.0","(X)","(X)","(X)","35.5","(X)","(X)","(X)","22.5","(X)","(X)","(X)",
"1600000US0121184","Dothan city, Alabama","1012","39806","2577","25840","66.8","2.1","48378","3224","2.0","30.2","23373","4055","N","N","32500","19100","N","N","26390","36611","N","N","-","**","31269","22242","N","N","N","N","98180","87019","N","N","40766","11470","65.8","2.2","48443","3232","4.3","1.2","17936","25134","2.0","32.5","37637","2959","2.1","39.9","50004","3387","23.3","1.9","4308","31409","17507","921","47928","3191","3.5","44.4","36875","2607","55.6","3.5","3810","57731","66.3","3.4","62848","3514","3.5","28.3","21793","4714","5.4","1.4","37545","13573","8333","829","2729","23954","56.1","5.0","19643","3826","51.8","4.8","3135","19356","2.2","4.4","31289","20101","43.9","5.0","5854","29580","38.8","5.1","26362","4741","2.2","5.1","61810","16561","29.1","(X)","(X)","(X)","30.8","(X)","(X)","(X)","24.3","(X)","(X)","(X)",
"1600000US0135896","Hoover city, Alabama","1881","69359","7066","30280","75.7","3.9","80304","8336","3.3","14.4","43944","11085","N","N","-","**","N","N","45188","60326","N","N","-","**","40333","29808","N","N","N","N","-","**","N","N","36437","9646","74.0","4.3","82172","8171","5.2","2.8","14366","33158","4.5","36.7","69422","10209","4.1","38.6","108525","17112","19.4","3.2","5396","46745","21027","1453","86451","6118","N","N","84336","6456","N","N","16064","95520","N","N","96513","11319","N","N","46131","23720","N","N","48901","115279","9253","1609","7320","41303","62.0","8.8","37742","9060","52.5","8.8","6469","30791","5.1","9.5","73759","62437","38.0","8.8","11461","48316","29.2","9.0","45954","14987","6.0","8.8","75938","53073","18.4","(X)","(X)","(X)","17.8","(X)","(X)","(X)","19.6","(X)","(X)","(X)",
"1600000US0137000","Huntsville city, Alabama","2444","44419","4013","74841","67.2","2.6","53161","4199","2.7","27.6","27280","4859","N","N","N","N","N","N","62575","77645","N","N","87704","50737","40648","25013","N","N","N","N","N","N","N","N","41778","11691","64.6","2.5","54232","4906","7.1","1.8","4439","13286","2.5","34.1","41377","3990","2.6","37.5","60561","5411","21.3","1.6","5940","41876","42901","1917","61451","4874","3.7","41.2","49050","5939","58.8","3.7","8772","69400","71.6","3.7","80747","6644","3.3","22.4","23948","3871","6.0","1.7","32500","12911","31940","2684","3673","27294","54.2","3.9","24876","3468","51.9","4.0","3360","24016","1.2","2.2","58846","55913","45.8","3.9","3740","31362","37.8","3.7","30170","6506","2.4","8.0","50490","25086","31.2","(X)","(X)","(X)","31.1","(X)","(X)","(X)","30.1","(X)","(X)","(X)",
"1600000US0150000","Mobile city, Alabama","2724","37438","2401","75328","51.6","2.2","48183","4348","2.2","45.2","29719","3606","N","N","N","N","N","N","19284","40710","N","N","-","**","22079","21784","N","N","N","N","57870","19260","N","N","24171","9569","50.6","2.2","48805","4152","5.4","1.3","5412","12315","2.3","30.6","37684","4452","2.5","41.0","48572","5384","23.0","1.8","2390","33014","43628","2060","46952","4737","3.6","41.2","33349","5105","58.8","3.6","4347","53822","56.6","3.3","62810","7754","3.4","36.5","26713","5272","6.9","2.3","30090","15417","31700","2635","3442","26948","52.2","4.0","23419","3156","46.8","3.8","3693","22099","1.9","5.4","31890","13212","47.8","4.0","6074","33333","38.3","4.0","29461","8585","3.2","9.5","54466","13505","23.1","(X)","(X)","(X)","24.5","(X)","(X)","(X)","21.1","(X)","(X)","(X)",
"1600000US0151000","Montgomery city, Alabama","2462","41380","1750","80035","43.0","1.9","63016","5955","1.8","53.5","31821","3731","N","N","-","**","N","N","28577","47895","N","N","-","**","N","N","N","N","N","N","N","N","N","N","43040","29779","41.6","1.9","63602","5482","6.1","1.4","3045","15312","2.1","35.9","41309","2235","1.8","37.1","51601","9963","20.9","1.2","2638","38984","50998","2703","53125","4689","4.0","49.3","42305","8200","50.7","4.0","6420","62460","57.6","3.1","80662","5446","3.0","34.8","22090","4692","7.5","1.8","41453","9676","29037","2440","3466","26695","55.1","3.5","29815","4215","50.2","4.1","4401","29356","2.4","4.8","35939","14692","44.9","3.5","4450","24648","36.3","4.1","22824","5733","3.5","8.7","35508","17346","27.1","(X)","(X)","(X)","26.7","(X)","(X)","(X)","26.3","(X)","(X)","(X)",
"1600000US0177256","Tuscaloosa city, Alabama","2242","35838","4414","31827","58.2","4.3","42295","6138","4.5","40.0","29421","4092","N","N","-","**","N","N","N","N","N","N","-","**","N","N","N","N","N","N","N","N","N","N","31713","13324","56.6","4.2","42799","6119","16.4","3.1","3059","15714","4.1","30.8","33936","6782","3.8","33.3","55263","6534","19.5","2.5","6979","37619","17665","1354","52438","7694","N","N","48738","13158","N","N","7608","55922","N","N","78301","16190","N","N","16459","6171","N","N","36238","13002","14162","2140","2520","22323","60.3","5.6","22282","3185","48.1","5.6","4208","23405","5.0","12.2","21158","5389","39.7","5.6","5591","22436","32.0","5.4","19206","5525","3.1","7.7","28874","4235","28.6","(X)","(X)","(X)","33.0","(X)","(X)","(X)","20.0","(X)","(X)","(X)",
"1600000US0203000","Anchorage municipality, Alaska","2002","72128","3531","104993","73.1","1.3","81095","4198","0.8","5.7","55319","17805","7.7","1.0","39089","11494","5.7","0.9","14409","51471","N","N","N","N","55679","16699","N","N","1.1","5.3","47561","6989","0.7","5.6","63078","17324","69.8","1.3","81652","4633","6.9","1.3","7403","33526","1.5","37.7","71485","3322","1.6","44.1","92353","4613","11.3","1.1","8016","46757","70087","2693","85829","6993","2.6","55.5","76741","6831","44.5","2.6","8057","97079","74.5","2.7","101278","6328","2.4","18.3","33767","4197","7.2","1.5","62229","17207","34906","2834","4887","49671","49.1","3.9","44550","7531","36.0","3.8","8434","37306","2.7","13.0","74422","27451","50.9","3.9","8241","55060","35.4","3.7","46679","5759","3.0","15.5","76835","10822","22.4","(X)","(X)","(X)","23.0","(X)","(X)","(X)","19.4","(X)","(X)","(X)",
"1600000US0404720","Avondale city, Arizona","1195","61369","3206","21262","80.9","4.5","61403","5250","N","N","41888","35287","N","N","N","N","N","N","44522","105948","N","N","-","**","61272","9042","N","N","N","N","61382","4705","5.9","48.5","45875","10967","42.1","6.2","68496","7689","N","N","17299","40142","N","N","62598","5605","N","N","63655","2418","N","N","5620","37898","17795","1047","60219","7061","N","N","51528","17289","N","N","5643","63144","N","N","64576","6023","N","N","35997","11606","N","N","32181","32029","3467","1132","24705","57152","41.9","12.1","63419","27661","22.5","10.2","11191","35499","10.8","19.4","74792","52308","58.1","12.1","33544","51728","24.4","13.2","43601","18098","14.3","33.7","80738","58590","34.0","(X)","(X)","(X)","30.2","(X)","(X)","(X)","46.6","(X)","(X)","(X)",
