"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1600000US0107000","Birmingham city, Alabama","93467","2898","32378","2224","28.1","2.1","50118","8605","69.2","2.2","27592","3228","N","N","N","N","N","N","57906","24755","N","N","-","**","N","N","34947","20449","N","N","20632","3581","N","N","40160","11604","27.1","2.1","48750","10355","5.3","1.3","18267","3614","34.8","2.4","33582","4123","38.2","2.4","37656","3702","21.7","1.5","30258","3248","47331","2484","39953","3048","40.7","3.6","22036","4044","59.3","3.6","51693","4708","43.6","3.7","66704","4521","46.4","3.8","21567","1557","10.0","2.6","41590","17455","46136","3508","24613","2741","53.0","3.4","23861","3643","46.1","3.9","21177","3385","6.9","2.1","44295","9881","47.0","3.4","25797","5669","38.1","3.4","22385","3003","8.9","2.3","52325","18505","44.8","(X)","(X)","(X)","46.1","(X)","(X)","(X)","42.4","(X)","(X)","(X)",
"1600000US0121184","Dothan city, Alabama","25709","771","44208","2572","64.1","1.6","55599","3103","32.9","1.5","26622","5058","N","N","63833","887","N","N","32240","18879","N","N","-","**","N","N","77321","22305","N","N","35313","6551","N","N","50357","25411","62.9","1.7","55623","3004","3.4","0.9","18201","10541","32.7","2.5","44992","6169","36.8","2.2","52237","3336","27.0","1.6","39940","3824","16686","792","54293","2783","41.0","3.2","47806","5193","59.0","3.2","57663","4272","65.4","2.9","69178","3342","28.6","2.5","25516","3973","5.9","1.8","41172","5189","9023","796","26479","3668","58.5","3.3","20673","2847","54.1","3.6","19335","2635","4.5","1.6","41308","14786","41.5","3.3","40516","7031","34.4","3.4","35466","7811","7.1","2.4","59500","25846","38.1","(X)","(X)","(X)","38.4","(X)","(X)","(X)","36.5","(X)","(X)","(X)",
"1600000US0135896","Hoover city, Alabama","32767","2053","77365","6217","74.0","3.4","88566","11099","20.1","3.7","48935","9251","N","N","-","**","N","N","80886","41674","N","N","-","**","N","N","-","**","N","N","N","N","N","N","52209","44047","72.3","3.5","89510","12132","1.9","1.2","19504","15537","34.3","3.8","80725","9306","37.6","3.6","101314","17350","26.1","3.6","55933","5681","23304","1142","97000","11477","N","N","103611","21080","N","N","92736","10486","N","N","109194","11735","N","N","48226","9230","N","N","44059","14488","9463","1857","45006","4473","63.7","7.5","40556","4845","60.6","7.9","39836","6022","3.1","2.3","85721","71811","36.3","7.5","54218","8313","32.6","7.6","54634","7197","3.7","2.6","44494","106633","28.5","(X)","(X)","(X)","31.7","(X)","(X)","(X)","20.4","(X)","(X)","(X)",
"1600000US0137000","Huntsville city, Alabama","83144","2373","46769","3461","66.7","2.6","59277","4908","27.9","2.4","28799","5876","N","N","75809","42556","N","N","82773","79542","N","N","-","**","N","N","N","N","N","N","32098","23131","N","N","26212","4987","63.1","2.5","61197","4668","5.1","1.2","15449","7253","34.9","2.5","41349","4773","35.7","2.3","61076","4401","24.3","1.5","48811","4720","46014","2393","66892","4983","41.6","3.2","51888","9990","58.4","3.2","74716","5788","69.5","3.5","93817","8698","23.0","3.3","25964","4949","7.5","1.8","36996","9796","37130","2509","32871","3481","52.6","4.1","28035","6484","46.1","4.2","24896","3955","6.5","2.7","39198","5135","47.4","4.1","40547","5650","37.5","4.3","32056","7104","9.8","3.5","46892","14130","30.5","(X)","(X)","(X)","30.7","(X)","(X)","(X)","29.2","(X)","(X)","(X)",
"1600000US0150000","Mobile city, Alabama","77701","2772","38678","2785","48.9","2.4","52088","3413","46.3","2.2","27752","2703","N","N","N","N","N","N","48676","45868","N","N","-","**","N","N","27182","2506","N","N","46445","21417","N","N","29474","9927","47.6","2.4","52400","4316","5.5","1.3","12165","5115","32.8","2.5","41584","2378","36.8","2.0","42263","7223","24.8","1.9","36899","2557","44116","2205","53122","4307","38.3","3.1","41962","10342","61.7","3.1","57343","5429","59.4","3.8","75437","6227","34.1","3.8","23218","3082","6.5","1.9","41092","5159","33585","2781","23720","3209","57.2","3.9","21116","1962","50.9","3.9","19535","2083","6.3","1.7","45974","17868","42.8","3.9","27598","5256","34.1","3.7","24164","3754","8.7","2.8","42357","11221","41.3","(X)","(X)","(X)","42.6","(X)","(X)","(X)","39.1","(X)","(X)","(X)",
"1600000US0151000","Montgomery city, Alabama","80655","2307","41836","2185","39.0","1.5","60824","5399","57.1","1.7","32698","2585","N","N","-","**","N","N","60314","18655","N","N","-","**","N","N","N","N","N","N","78366","42017","N","N","47336","8024","37.7","1.5","61336","4568","6.2","1.5","17099","4035","33.6","1.7","37568","4022","37.5","1.8","60313","7271","22.6","1.1","39762","6962","49756","2481","52075","4581","47.2","3.2","39871","7323","52.8","3.2","62584","4784","57.1","3.0","76572","6643","33.6","2.8","25233","4533","9.3","2.2","29866","14781","30899","2423","30362","4079","56.0","3.5","26525","6001","50.6","3.8","25543","6141","5.4","2.1","38310","19113","44.0","3.5","34039","6404","35.5","4.3","34816","7756","8.5","3.0","29334","16037","38.3","(X)","(X)","(X)","42.1","(X)","(X)","(X)","29.9","(X)","(X)","(X)",
"1600000US0177256","Tuscaloosa city, Alabama","33270","1647","44125","3645","55.6","3.2","58844","7399","41.3","3.3","33840","4558","N","N","-","**","N","N","N","N","N","N","-","**","N","N","-","**","N","N","13333","7021","N","N","N","N","54.1","3.1","58991","7530","13.1","3.4","14388","4572","29.8","3.9","45315","7370","36.7","3.6","57163","5159","20.3","2.5","37125","10553","19022","1531","57657","4578","N","N","45462","21314","N","N","62268","7638","N","N","88979","9511","N","N","26291","3599","N","N","25798","20819","14248","1799","26575","5638","57.6","6.0","25902","5235","47.7","6.2","23081","6840","9.9","4.1","40789","45070","42.4","6.0","30630","12683","27.2","5.3","24050","6789","15.2","5.5","49516","40526","46.3","(X)","(X)","(X)","50.1","(X)","(X)","(X)","39.6","(X)","(X)","(X)",
"1600000US0203000","Anchorage municipality, Alaska","104936","1982","78662","3684","72.6","1.6","88485","5480","6.0","0.9","52261","9349","4.8","0.9","52375","14086","6.3","1.0","68456","9420","N","N","N","N","N","N","52238","22287","6.3","1.0","72867","10327","N","N","63151","6600","69.4","1.7","89805","5418","7.0","1.1","41536","4657","39.1","1.6","78594","6972","38.3","1.8","98267","8112","15.6","1.2","67599","9467","67371","2131","94419","7728","49.5","2.9","79049","9444","50.5","2.9","110409","9354","69.5","2.9","113837","5651","22.0","2.5","49146","8375","8.5","2.0","64282","19999","37565","2505","53809","4855","42.4","3.7","44624","5175","32.8","3.8","40066","2231","9.6","2.4","82098","13468","57.6","3.7","62725","8248","43.2","4.6","55350","11322","14.4","3.3","89510","15169","30.0","(X)","(X)","(X)","30.7","(X)","(X)","(X)","24.8","(X)","(X)","(X)",
"1600000US0404720","Avondale city, Arizona","25329","1223","54686","4882","77.1","4.0","53385","4381","N","N","61904","9802","N","N","-","**","N","N","67644","27954","N","N","-","**","N","N","N","N","N","N","N","N","36.1","4.2","52344","6969","47.2","4.0","54168","5832","5.8","2.2","60451","28669","44.6","3.5","53270","4749","36.1","4.6","62267","8313","13.5","2.6","42139","7207","17791","864","58777","5223","N","N","56458","6951","N","N","66208","10097","N","N","71384","4559","N","N","31792","7584","N","N","47460","7676","7538","1310","41586","5602","42.6","9.2","31535","9440","31.5","7.6","25727","6168","11.1","5.4","60063","8389","57.4","9.2","45558","6198","42.1","10.1","41164","5844","15.3","6.5","56699","36192","33.4","(X)","(X)","(X)","33.6","(X)","(X)","(X)","28.8","(X)","(X)","(X)",
