"Table 2. Per Capita Personal Income, by Metropolitan Area, 2020–2022",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
,2020,2021,2022,2022,2021,2022,2022
United States,"59,153","64,430","65,470",--,8.9,1.6,--
Metropolitan portion,"61,202","66,666","67,767",--,8.9,1.7,--
Nonmetropolitan portion,"46,220","50,312","50,917",--,8.9,1.2,--
Metropolitan Statistical Areas,,,,,,,
"Abilene, TX","48,195","52,537","53,457",227,9.0,1.8,149
"Akron, OH","54,631","59,333","60,170",122,8.6,1.4,181
"Albany, GA","42,025","46,851","45,893",346,11.5,-2.0,363
"Albany-Lebanon, OR","47,621","51,999","52,469",241,9.2,0.9,228
"Albany-Schenectady-Troy, NY","62,798","66,966","66,984",63,6.6,0.0,283
"Albuquerque, NM","48,654","52,972","53,954",219,8.9,1.9,139
"Alexandria, LA","47,730","51,115","51,451",261,7.1,0.7,244
"Allentown-Bethlehem-Easton, PA-NJ","59,407","62,247","62,912",94,4.8,1.1,217
"Altoona, PA","50,853","55,162","55,101",193,8.5,-0.1,292
"Amarillo, TX","52,122","56,394","57,124",163,8.2,1.3,193
"Ames, IA","45,861","49,501","50,657",273,7.9,2.3,104
"Anchorage, AK","63,703","67,529","70,566",42,6.0,4.5,16
"Ann Arbor, MI","64,606","69,892","71,368",40,8.2,2.1,116
"Anniston-Oxford, AL","39,591","43,045","42,533",375,8.7,-1.2,342
"Appleton, WI","54,943","59,015","60,060",125,7.4,1.8,147
"Asheville, NC","50,098","55,551","57,810",155,10.9,4.1,28
"Athens-Clarke County, GA","44,708","48,525","49,884",284,8.5,2.8,73
"Atlanta-Sandy Springs-Alpharetta, GA","58,140","63,474","64,107",81,9.2,1.0,222
"Atlantic City-Hammonton, NJ","53,533","57,351","55,918",180,7.1,-2.5,373
"Auburn-Opelika, AL","41,326","45,046","46,691",336,9.0,3.7,41
"Augusta-Richmond County, GA-SC","46,859","49,961","49,496",292,6.6,-0.9,331
"Austin-Round Rock-Georgetown, TX","64,453","71,844","75,119",25,11.5,4.6,14
"Bakersfield, CA","44,490","46,651","44,862",363,4.9,-3.8,383
"Baltimore-Columbia-Towson, MD","65,676","70,023","71,420",39,6.6,2.0,127
"Bangor, ME","47,264","50,753","51,998",251,7.4,2.5,95
"Barnstable Town, MA","79,606","83,891","85,317",12,5.4,1.7,155
"Baton Rouge, LA","52,635","56,839","56,897",167,8.0,0.1,280
"Battle Creek, MI","43,593","45,582","44,904",360,4.6,-1.5,350
"Bay City, MI","47,030","50,367","49,667",289,7.1,-1.4,348
"Beaumont-Port Arthur, TX","46,516","48,960","49,526",291,5.3,1.2,207
"Beckley, WV","42,542","46,426","47,065",331,9.1,1.4,185
"Bellingham, WA","53,867","58,581","58,993",135,8.8,0.7,240
"Bend, OR","64,080","70,161","71,627",36,9.5,2.1,118
"Billings, MT","56,200","61,824","64,017",82,10.0,3.5,49
"Binghamton, NY","47,886","50,470","49,216",296,5.4,-2.5,372
"Birmingham-Hoover, AL","54,817","60,157","62,262",99,9.7,3.5,51
"Bismarck, ND","61,067","67,147","68,698",50,10.0,2.3,107
"Blacksburg-Christiansburg, VA","40,883","44,730","46,345",342,9.4,3.6,43
"Bloomington, IL","54,939","59,244","58,178",148,7.8,-1.8,358
"Bloomington, IN","47,966","52,171","53,735",220,8.8,3.0,68
"Bloomsburg-Berwick, PA","50,359","53,507","53,399",228,6.2,-0.2,297
"Boise City, ID","51,706","56,963","59,739",126,10.2,4.9,12
"Boston-Cambridge-Newton, MA-NH","84,684","92,402","94,082",8,9.1,1.8,143
"Boulder, CO","81,673","93,472","98,553",7,14.4,5.4,6
"Bowling Green, KY","40,407","44,024","44,902",361,8.9,2.0,128
"Bremerton-Silverdale-Port Orchard, WA","62,192","66,919","68,198",55,7.6,1.9,134
"Bridgeport-Stamford-Norwalk, CT","115,859","119,982","125,185",4,3.6,4.3,21
"Brownsville-Harlingen, TX","33,704","38,001","37,325",383,12.7,-1.8,357
"Brunswick, GA","48,683","53,744","54,827",196,10.4,2.0,125
"Buffalo-Cheektowaga, NY","54,208","56,847","56,414",175,4.9,-0.8,324
"Burlington, NC","44,223","48,218","48,980",302,9.0,1.6,160
"Burlington-South Burlington, VT","61,207","65,021","67,342",62,6.2,3.6,47
"California-Lexington Park, MD","62,459","65,118","66,146",66,4.3,1.6,162
"Canton-Massillon, OH","48,671","52,663","53,175",232,8.2,1.0,226
"Cape Coral-Fort Myers, FL","58,139","62,783","63,568",86,8.0,1.2,201
